r,model,subject,channel
-0.012214746101324364,model4,S0010,LAH10
-0.08842111437349591,model1,S0010,LAH11
-0.020659836655939758,model4,S0010,LAH11
-0.05987079616668022,model1,S0010,LAH12
-0.017472157515235256,model4,S0010,LAH12
0.09154233816966807,model1,S0010,LAH13
0.0035431398947747533,model4,S0010,LAH13
0.28274049812278546,model1,S0010,LAH14
0.16310008911912716,model4,S0010,LAH14
0.02802459566766851,model1,S0010,RAC1
0.02996099756138557,model4,S0010,RAC1
0.02835285212012186,model1,S0010,RAC2
0.02491879171903047,model4,S0010,RAC2
0.0229852632355124,model1,S0010,RAC3
0.02279662895227164,model4,S0010,RAC3
0.0410291098143543,model1,S0010,RAC4
