subj,elec,elec_type,roi,roi_condensed,window,si
S0006,RAIF7,spkr_only,ctx_rh_G_front_inf-Triangul,IFG,onset,0.23817656661057107
S0006,RAIF7,spkr_only,ctx_rh_G_front_inf-Triangul,IFG,sustained,0.231316705114208
S0006,RAIF8,no_onset,ctx_rh_G_front_inf-Triangul,IFG,onset,0.081784656383175
S0006,RAIF8,no_onset,ctx_rh_G_front_inf-Triangul,IFG,sustained,0.1271550658645979
S0006,RPI1,no_onset,Right-Cerebral-White-Matter,wm,onset,0.33147779137309463
S0006,RPI1,no_onset,Right-Cerebral-White-Matter,wm,sustained,0.3238150754689453
S0006,RPI2,no_onset,ctx_rh_S_circular_insula_inf,insula_inf,onset,0.3210526127094906
S0006,RPI2,no_onset,ctx_rh_S_circular_insula_inf,insula_inf,sustained,0.2977413154409416
S0006,RPI3,no_onset,ctx_rh_G_Ins_lg_and_S_cent_ins,insula_post,onset,0.25399975762982807
S0006,RPI3,no_onset,ctx_rh_G_Ins_lg_and_S_cent_ins,insula_post,sustained,0.2584766674781618
S0006,RPI4,no_onset,ctx_rh_G_Ins_lg_and_S_cent_ins,insula_post,onset,0.05690013711383579
S0006,RPI4,no_onset,ctx_rh_G_Ins_lg_and_S_cent_ins,insula_post,sustained,0.17460229080287548
S0006,RPI5,mic_only,ctx_rh_G_Ins_lg_and_S_cent_ins,insula_post,onset,-0.0064637587062698065
S0006,RPI5,mic_only,ctx_rh_G_Ins_lg_and_S_cent_ins,insula_post,sustained,0.07376019748500684
S0006,RPI6,dual_onset,ctx_rh_S_circular_insula_inf,insula_inf,onset,0.07871668405565457
S0006,RPI6,dual_onset,ctx_rh_S_circular_insula_inf,insula_inf,sustained,0.11367490240990064
