subject,channel
TCH14,LPILG10
TCH14,LPILG11
TCH14,LPILG12
TCH14,LPIALG2
TCH14,LPIALG3
TCH14,LPIALG4
TCH14,LPIALG5
TCH14,LAISG2
TCH14,LAISG3
TCH14,LAISG4
TCH14,LAISG6
TCH14,LAISG7
TCH14,LAISG13
TCH14,LCMN3
TCH14,LCMN4
TCH14,LCMN5
TCH14,LCMN6
TCH14,LCMN7
TCH14,LCMN8
TCH14,LCMN9
TCH14,LCMN10
TCH14,LCMN12
TCH14,LCMN13
TCH14,LCMN14
TCH14,RANT1
TCH14,RANT2
TCH14,RANT3
TCH14,RANT4
TCH14,RANT5
TCH14,RANT6
TCH14,RANT13
TCH14,RANT14
TCH14,LAIMSG3
TCH14,LAIMSG4
TCH14,LAIMSG5
TCH14,LAIMSG7
TCH14,LAIMSG8
TCH14,LAIMSG9
TCH14,LAIMSG10
TCH14,LAIMSG12
TCH14,LAIMSG13
TCH14,LANT7
TCH14,LANT8
TCH14,LANT9
TCH14,LANT12
TCH14,LANGT1
TCH14,LANGT2
TCH14,LANGT3
TCH14,LANGT4
TCH14,LANGT5
TCH14,LANGT6
TCH14,LANGT7
TCH14,LANGT8
TCH14,LANGT9
TCH14,LANGT10
TCH14,LANGT11
TCH14,LANGT12
TCH14,LANGT13
TCH14,LANGT14
TCH14,LUNC1
TCH14,LUNC2
TCH14,LUNC3
TCH14,LUNC4
TCH14,LUNC5
TCH14,LUNC6
TCH14,LUNC7
TCH14,LUNC8
TCH14,LUNC10
TCH14,LML1
TCH14,LML2
TCH14,LML3
TCH14,LML5
TCH14,LML6
TCH14,RSMA6
TCH14,LSMA1
TCH14,LSMA4
TCH14,LSMA6
TCH14,LPCUN1
TCH14,LPCUN4
TCH14,LPCUN5
TCH14,LSHP1
TCH14,LSHP2
TCH14,LSHP3
TCH14,LSHP6
TCH14,LSPL1
TCH14,LSPL3
TCH14,LSPL4
TCH14,LSPL5
TCH14,LSPL6
TCH14,LFEF1
TCH14,LFEF3
TCH14,LFEF5
TCH14,LFEF6
TCH14,LAG2
TCH14,LAG3
TCH14,LAG4
TCH14,LSH2
TCH14,LSH4
TCH14,LSH6
TCH14,LSL2
TCH14,LSL3
TCH14,LSL4
TCH14,LSL5
TCH14,LSL6
TCH14,LPOT1
TCH14,LPOT4
TCH14,LPOT5
TCH14,LPOT6
TCH14,LIPS1
TCH14,LIPS2
TCH14,LIPS3
TCH14,LIPS4
